HourUTC;School_holiday;Weekend;Week_day;Working_hours;Winter;Spring;Summer;Autumn;Holiday;Daylight_hours;Mean_temp
31/12/2023 22.00;1;1;0;0;1;0;0;0;0;7,00452;5,4
31/12/2023 21.00;1;1;0;0;1;0;0;0;0;7,00452;5,2
31/12/2023 20.00;1;1;0;0;1;0;0;0;0;7,00452;5,1
31/12/2023 19.00;1;1;0;0;1;0;0;0;0;7,00452;5
31/12/2023 18.00;1;1;0;0;1;0;0;0;0;7,00452;5
31/12/2023 17.00;1;1;0;0;1;0;0;0;0;7,00452;5,2
31/12/2023 16.00;1;1;0;0;1;0;0;0;0;7,00452;5,2
31/12/2023 15.00;1;1;0;0;1;0;0;0;0;7,00452;5,3
31/12/2023 14.00;1;1;0;0;1;0;0;0;0;7,00452;5,5
31/12/2023 13.00;1;1;0;0;1;0;0;0;0;7,00452;5,7
31/12/2023 12.00;1;1;0;0;1;0;0;0;0;7,00452;5,8
31/12/2023 11.00;1;1;0;0;1;0;0;0;0;7,00452;5,8
31/12/2023 10.00;1;1;0;0;1;0;0;0;0;7,00452;5,5
31/12/2023 09.00;1;1;0;0;1;0;0;0;0;7,00452;5,4
31/12/2023 08.00;1;1;0;0;1;0;0;0;0;7,00452;5,3
31/12/2023 07.00;1;1;0;0;1;0;0;0;0;7,00452;5,3
31/12/2023 06.00;1;1;0;0;1;0;0;0;0;7,00452;5,1
31/12/2023 05.00;1;1;0;0;1;0;0;0;0;7,00452;4,8
31/12/2023 04.00;1;1;0;0;1;0;0;0;0;7,00452;4,2
31/12/2023 03.00;1;1;0;0;1;0;0;0;0;7,00452;3,9
31/12/2023 02.00;1;1;0;0;1;0;0;0;0;7,00452;3,3
31/12/2023 01.00;1;1;0;0;1;0;0;0;0;7,00452;3,2
31/12/2023 00.00;1;1;0;0;1;0;0;0;0;7,00452;2,7
30/12/2023 23.00;1;1;0;0;1;0;0;0;0;6,984228;2,6
30/12/2023 22.00;1;1;0;0;1;0;0;0;0;6,984228;4
