HourUTC;HourDK;PriceArea;TotalLoad;Biomass;FossilGas;FossilHardCoal;FossilOil;HydroPower;OtherRenewable;SolarPower;Waste;OnshoreWindPower;OffshoreWindPower;ExchangeContinent;ExchangeGreatBelt;ExchangeNordicCountries;ExchangeGreatBritain
2023-12-31 22:00;2023-12-31 23:00;DK1;2258,989990;187,929993;77,940002;120,820000;30,629999;3,410000;1,060000;0,000000;48,970001;1477,380005;1163,010010;3092,790039;-526,330017;-2178,909912;-597,450012
2023-12-31 22:00;2023-12-31 23:00;DK2;1491,219971;343,190002;79,580002;152,160004;24,559999;;;1,180000;42,380001;177,309998;599,000000;896,630005;526,330017;-1316,880005;
2023-12-31 21:00;2023-12-31 22:00;DK1;2328,790039;96,779999;81,839996;127,230003;29,760000;3,410000;0,980000;0,000000;48,169998;1536,000000;1191,260010;3114,070068;-530,770020;-2167,129883;-605,719971
2023-12-31 21:00;2023-12-31 22:00;DK2;1542,040039;302,690002;80,199997;153,020004;24,690001;;;1,180000;41,740002;179,479996;718,849976;846,090027;530,770020;-1303,420044;
2023-12-31 20:00;2023-12-31 21:00;DK1;2442,199951;31,049999;76,230003;156,199997;30,080000;3,410000;1,010000;0,000000;48,119999;1624,469971;1165,160034;3184,909912;-531,090027;-1869,939941;-795,309998
2023-12-31 20:00;2023-12-31 21:00;DK2;1591,250000;314,500000;89,370003;167,470001;27,500000;;;1,180000;42,639999;226,899994;864,429993;813,119995;531,090027;-1459,439941;
2023-12-31 19:00;2023-12-31 20:00;DK1;2507,919922;30,000000;83,459999;159,610001;30,830000;3,420000;1,080000;0,000000;48,099998;1889,780029;1092,689941;3139,649902;-536,570007;-1969,839966;-800,010010
2023-12-31 19:00;2023-12-31 20:00;DK2;1655,069946;329,029999;88,900002;182,330002;27,420000;;;1,180000;43,779999;274,059998;874,880005;784,130005;536,570007;-1463,839966;
2023-12-31 18:00;2023-12-31 19:00;DK1;2683,280029;30,629999;97,760002;165,160004;31,870001;3,430000;1,190000;0,000000;48,500000;2161,320068;1129,280029;3193,850098;-590,039978;-2223,469971;-800,010010
2023-12-31 18:00;2023-12-31 19:00;DK2;1777,339966;344,890015;87,629997;208,899994;27,840000;;;1,180000;43,110001;309,670013;887,159973;773,619995;590,039978;-1472,030029;
